,Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Latitude,Longitude,Invoice ID,Unit price,Tax 5%
0,MCK-27-2THE,C,Luang Prabang,Normal,Male,Sports and travel,92.09799104465812,9,41.44409597009616,854.1866302355604,2021-01-01,15:52,Cash,828.8819194019231,4.761905,41.44409597009616,4.532518110431962,19.889271,102.133453,,,
1,GUK-86-3CQT,E,Chiang Mai,Normal,Male,Fashion accessories,74.61229615504644,7,26.11430365426625,552.4505180524883,2021-01-01,10:28,Credit card,522.286073085325,4.761905,26.11430365426625,4.693977013052047,18.796143,98.979263,,,
2,EDS-29-SN03,A,Bangkok,Member,Female,Fashion accessories,28.09703690144847,9,12.643666605651813,266.94989848270444,2021-01-01,14:15,Cash,252.8733321130362,4.761905,12.643666605651813,4.226045024202072,13.736717,100.523186,,,
3,271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,181.6868224078576,2021-01-01,11:40,Ewallet,175.32,4.761904762,8.766,5.0,19.7633,96.0785,,,
4,770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,199.4338776367304,2021-01-01,19:31,Cash,168.96,4.761904762,8.448,6.3,21.9588,96.0891,,,
5,JFE-76-T6BH,C,Bangkok,Member,Male,Fashion accessories,45.05978220634857,9,20.27690199285686,406.1367014310788,2021-01-01,11:37,Cash,405.5380398571372,4.761905,20.27690199285686,1.432106790482734,13.736717,100.523186,,,
6,182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,130.1675015851224,2021-01-01,20:26,Ewallet,108.16,4.761904762,5.408,6.9,16.8409,96.1735,,,
7,ALJ-13-MRDT,C,Vientiane,Normal,Female,Fashion accessories,36.2506374649177,4,7.250127492983541,160.31965767077563,2021-01-01,17:27,Credit card,145.0025498596708,4.761905,7.250127492983541,7.2355216072833235,17.974855,102.630867,,,
8,746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,907.3359072353971,2021-01-01,11:36,Credit card,846.3,4.761904762,42.315,9.0,21.9588,96.0891,,,
9,416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,804.5001530180945,2021-01-01,14:42,Credit card,742.2,4.761904762,37.11,4.3,16.8409,96.1735,,,
10,XDU-93-5ZGG,D,Chiang Mai,Member,Female,Food and beverages,21.350446367017,3,3.202566955052549,80.12984662702502,2021-01-01,10:13,Credit card,64.05133910105098,4.761905,3.202566955052549,9.590464256093018,18.796143,98.979263,,,
11,651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,629.6947588447545,2021-01-01,13:55,Cash,591.66,4.761904762,29.583,7.7,16.8409,96.1735,,,
12,NZE-61-HCH7,E,Bangkok,Member,Female,Electronic accessories,62.53590251441124,7,21.887565880043937,456.8010467859888,2021-01-01,13:53,Credit card,437.7513176008787,4.761905,21.887565880043937,8.603457624591236,13.736717,100.523186,,,
13,SME-83-KESH,A,Vientiane,Normal,Female,Health and beauty,51.25591962505901,3,7.688387943758852,173.28154989651017,2021-01-01,11:04,Ewallet,153.76775887517704,4.761905,7.688387943758852,4.420836511712366,17.974855,102.630867,,,
14,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,490.65616668617145,2021-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,16.8409,96.1735,,,
15,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,410.3086181810568,2021-01-01,14:47,Cash,380.72,4.761904762,19.036,5.7,16.8409,96.1735,,,
16,891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,473.12623892709325,2021-01-01,19:07,Cash,448.26,4.761904762,22.413,6.7,21.9588,96.0891,,,
17,PYP-03-QU48,D,Luang Prabang,Member,Female,Food and beverages,50.24982566821279,3,7.537473850231919,175.65815272055457,2021-01-01,10:06,Credit card,150.74947700463838,4.761905,7.537473850231919,8.506399745993342,19.889271,102.133453,,,
18,493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,400.6160524369173,2021-01-01,19:48,Credit card,369.8,4.761904762,18.49,7.0,19.7633,96.0785,,,
19,RCN-86-DEC8,C,Chiang Mai,Normal,Male,Sports and travel,44.80932113935138,6,13.442796341805415,255.53743038221668,2021-01-01,18:29,Cash,268.8559268361083,4.761905,13.442796341805415,4.841163424568436,18.796143,98.979263,,,
20,556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,160.465965864158,2021-01-01,15:51,Cash,126.44,4.761904762,6.322,8.5,19.7633,96.0785,,,
21,133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,146.76675057265837,2021-01-01,11:43,Cash,125.74,4.761904762,6.287,5.0,19.7633,96.0785,,,
22,YFY-96-2434,D,Bangkok,Normal,Male,Sports and travel,69.37553263643957,1,3.468776631821979,87.90077035306606,2021-01-02,18:22,Ewallet,69.37553263643957,4.761905,3.468776631821979,7.938061149516237,13.736717,100.523186,,,
23,DDG-47-IP0D,F,Luang Prabang,Member,Female,Sports and travel,93.38785966891928,1,4.669392983445965,67.10688992408853,2021-01-02,18:04,Cash,93.38785966891928,4.761905,4.669392983445965,8.421182832965002,19.889271,102.133453,,,
